Restaurant,Burrito Name,Menu Name,Type,Taco/Burrito,Date,Neighborhood,Address,Full Address,URL,Yelp,Google,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,Notes
Albertacos,California,California Burrito,California,Burrito,42529,San Marcos,500 W San Marcos Blvd # 103,"500 W San Marcos Blvd # 103, San Marcos CA",https://www.yelp.com/biz/albertacos-san-marcos,3.5,3.9,6.49,3,3,5,3,3.5,4,4,4,4,4,3.8,Scott,good fries: 4/5
Albertacos,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42529,San Marcos,500 W San Marcos Blvd # 103,"500 W San Marcos Blvd # 103, San Marcos CA",https://www.yelp.com/biz/albertacos-san-marcos,3.5,3.9,5.45,3.5,2,3.5,2.5,2.5,2,4,3.5,2.5,5,3,Scott,Fries: 3/5; too little meat
Alberto's,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42495,Escondido,623 N Escondido Blvd,"623 N Escondido Blvd, Escondido CA",,,,4.85,1.5,3,2,2.5,3,4.5,4,3,3,5,3,Emily,
Burrito Factory,Steak everything ,Steak everything  Burrito,Carne Asada / Beef,Burrito,42929,Austin,2025 Guadalupe St,"2025 Guadalupe St, Austin CA",https://www.yelp.com/biz/burrito-factory-austin,4.5,4.8,6.59,4,4,5,4,3.5,4.5,5,2.5,4.5,4,4.2,Scott,
Burros and Fries,California,California Burrito,California,Burrito,42594,Clairemont,4705 Clairemont Dr,"4705 Clairemont Dr, Clairemont CA",http://www.burrosandfries.com/,3.5,4.1,6.99,4,3,4,5,3.5,2.5,2.5,2.5,4,1,3.2,Emily,
Burros and Fries,Carne Asada,Carne Asada Burrito,Carne Asada / Beef,Burrito,42594,Clairemont,4705 Clairemont Dr,"4705 Clairemont Dr, Clairemont CA",http://www.burrosandfries.com/,3.5,4.1,7.19,1.5,2,3,3,2,2.5,2.5,,2,3,2.6,Scott,not fries. big potatoes
Burros and Fries,Shrimp california,Shrimp California Burrito,Seafood,Burrito,42890,Clairemont,4705 Clairemont Dr,"4705 Clairemont Dr, Clairemont CA",http://www.burrosandfries.com/,3.5,4.1,6.99,4,2.5,3,3,2.5,3,3.5,,2.5,3,3,Emily,
Burros and Fries,California,California Burrito,California,Burrito,42890,Clairemont,4705 Clairemont Dr,"4705 Clairemont Dr, Clairemont CA",http://www.burrosandfries.com/,3.5,4.1,9.25,3.5,2,4.5,4.5,3.5,1.5,3,3.5,4,2,3.9,Scott,this tasted really bad leftover. not included in rating
Caliente Mexican Food,Carne Asada ,Carne Asada  Burrito,Carne Asada / Beef,Burrito,42922,Sorrento Valley,11815 Sorrento Valley Rd,"11815 Sorrento Valley Rd, Sorrento Valley CA",https://www.yelp.com/biz/caliente-mexican-food-san-diego,3.5,4.4,6.25,3.5,2.5,1.5,1.5,3,4.5,3,1.5,2,4.5,2,Scott,
Caliente Mexican Food,Carne Asada ,Carne Asada  Burrito,Carne Asada / Beef,Burrito,42922,Sorrento Valley,11815 Sorrento Valley Rd,"11815 Sorrento Valley Rd, Sorrento Valley CA",https://www.yelp.com/biz/caliente-mexican-food-san-diego,3.5,4.4,9.5,2,2.5,2.5,2.75,2.5,2.5,2,0.5,3,3.5,2.5,Emily,Huge. Shrimp is good. Meat is normal
Caliente Mexican Food,fried fish,fried fish Burrito,Seafood,Burrito,42922,Sorrento Valley,11815 Sorrento Valley Rd,"11815 Sorrento Valley Rd, Sorrento Valley CA",https://www.yelp.com/biz/caliente-mexican-food-san-diego,3.5,4.4,6.95,2,3,4,4,3,4,4,1,2,1,3,Marc,
Caliente Mexican Food,California,California Burrito,California,Burrito,42922,Sorrento Valley,11815 Sorrento Valley Rd,"11815 Sorrento Valley Rd, Sorrento Valley CA",https://www.yelp.com/biz/caliente-mexican-food-san-diego,3.5,4.4,6.25,3.5,3,3.5,3.5,4,2,3.5,1,4,4,3.9,Scott,
California Burrito Company,Dave's California,Dave's California Burrito,California,Burrito,42655,Miramar,6912 Miramar Rd,"6912 Miramar Rd, Miramar CA",https://www.yelp.com/biz/california-burrito-company-san-diego-2,3.5,4.4,6.99,3,3,1,1.5,2.5,4,4,3,4.5,5,2,Nicole,
California Burrito Company,California,California Burrito,California,Burrito,42655,Miramar,6912 Miramar Rd,"6912 Miramar Rd, Miramar CA",https://www.yelp.com/biz/california-burrito-company-san-diego-2,3.5,4.4,6.25,3,4,,2,2,4,4,,3,4,2.75,Cris,"to-go, no guac or sour cream, fries are a small and underdone"
California Burrito Company,California,California Burrito,California,Burrito,42655,Miramar,6912 Miramar Rd,"6912 Miramar Rd, Miramar CA",https://www.yelp.com/biz/california-burrito-company-san-diego-2,3.5,4.4,7.49,4,3,2.5,4,4,3.5,2.5,3.5,5,4.5,4.2,Emily,Horchata is very sweet
California Burrito Company,Fajitas ,Fajitas  Burrito,Specialty,Burrito,42661,Miramar,6912 Miramar Rd,"6912 Miramar Rd, Miramar CA",https://www.yelp.com/biz/california-burrito-company-san-diego-2,3.5,4.4,8.49,2.5,4,4,4.5,4,5,4.5,3.5,4,2,4.1,Scott,
California Burrito Company,California ,California Burrito,California,Burrito,42661,Miramar,6912 Miramar Rd,"6912 Miramar Rd, Miramar CA",https://www.yelp.com/biz/california-burrito-company-san-diego-2,3.5,4.4,5.99,3,4,4,3,3.5,4,4.5,4,4,4.5,4,Scott,Salsa verde spicy
