Restaurant,Burrito Name,Type,Zip Code,Neighborhood,Address,Full Address,URL,Yelp,Google,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,Notes,lat,lng
Albertacos,California ,California,42529,San Marcos,500 W San Marcos Blvd # 103,"500 W San Marcos Blvd # 103, San Marcos CA",https://www.yelp.com/biz/albertacos-san-marcos,3.5,3.9,6.49,3,3,5,3,3.5,4,4,4,4,4,3.8,Scott,good fries: 4/5,33.1395266,-117.1721626
Albertacos,Carne asada,Carne Asada / Beef,42529,San Marcos,500 W San Marcos Blvd # 103,"500 W San Marcos Blvd # 103, San Marcos CA",https://www.yelp.com/biz/albertacos-san-marcos,3.5,3.9,5.45,3.5,2,3.5,2.5,2.5,2,4,3.5,2.5,5,3,Scott,Fries: 3/5; too little meat,33.1395266,-117.1721626
Alberto's,Carne Asada,Carne Asada / Beef,42495,Escondido,623 N Escondido Blvd,"623 N Escondido Blvd, Escondido CA",,,,4.85,1.5,3,2,2.5,3,4.5,4,3,3,5,3,Emily,,33.1265153,-117.0887398
Burrito Factory,Steak everything ,Carne Asada / Beef,42929,Austin,2025 Guadalupe St,"2025 Guadalupe St, Austin CA",https://www.yelp.com/biz/burrito-factory-austin,4.5,4.8,6.59,4,4,5,4,3.5,4.5,5,2.5,4.5,4,4.2,Scott,,30.2833507,-97.7415642
Burros and Fries,California,California,42594,Clairemont,4705 Clairemont Dr,"4705 Clairemont Dr, Clairemont CA",http://www.burrosandfries.com/,3.5,4.1,6.99,4,3,4,5,3.5,2.5,2.5,2.5,4,1,3.2,Emily,,32.8297288,-117.2050566
Burros and Fries,Carne asada,Carne Asada / Beef,42594,Clairemont,4705 Clairemont Dr,"4705 Clairemont Dr, Clairemont CA",http://www.burrosandfries.com/,3.5,4.1,7.19,1.5,2,3,3,2,2.5,2.5,,2,3,2.6,Scott,not fries. big potatoes,32.8297288,-117.2050566
Burros and Fries,Shrimp california,Seafood,42890,Clairemont,4705 Clairemont Dr,"4705 Clairemont Dr, Clairemont CA",http://www.burrosandfries.com/,3.5,4.1,6.99,4,2.5,3,3,2.5,3,3.5,,2.5,3,3,Emily,,32.8297288,-117.2050566
Burros and Fries,California,California,42890,Clairemont,4705 Clairemont Dr,"4705 Clairemont Dr, Clairemont CA",http://www.burrosandfries.com/,3.5,4.1,9.25,3.5,2,4.5,4.5,3.5,1.5,3,3.5,4,2,3.9,Scott,this tasted really bad leftover. not included in rating,32.8297288,-117.2050566
Caliente Mexican Food,carne asada ,Carne Asada / Beef,42922,Sorrento Valley,11815 Sorrento Valley Rd,"11815 Sorrento Valley Rd, Sorrento Valley CA",https://www.yelp.com/biz/caliente-mexican-food-san-diego,3.5,4.4,6.25,3.5,2.5,1.5,1.5,3,4.5,3,1.5,2,4.5,2,Scott,,32.9161974,-117.2367235
Caliente Mexican Food,carne asada ,Carne Asada / Beef,42922,Sorrento Valley,11815 Sorrento Valley Rd,"11815 Sorrento Valley Rd, Sorrento Valley CA",https://www.yelp.com/biz/caliente-mexican-food-san-diego,3.5,4.4,9.5,2,2.5,2.5,2.75,2.5,2.5,2,0.5,3,3.5,2.5,Emily,Huge. Shrimp is good. Meat is normal,32.9161974,-117.2367235
Caliente Mexican Food,fried fish,Seafood,42922,Sorrento Valley,11815 Sorrento Valley Rd,"11815 Sorrento Valley Rd, Sorrento Valley CA",https://www.yelp.com/biz/caliente-mexican-food-san-diego,3.5,4.4,6.95,2,3,4,4,3,4,4,1,2,1,3,Marc,,32.9161974,-117.2367235
